iter	Passed	Remaining
1916	3293	3834
1917	3295	3833
1918	3297	3831
1919	3299	3830
1920	3301	3829
1921	3303	3827
1922	3305	3826
1923	3307	3824
1924	3309	3823
1925	3311	3822
1926	3314	3821
1927	3316	3820
1928	3317	3818
1929	3319	3817
1930	3321	3815
1931	3323	3814
1932	3325	3812
1933	3327	3811
1934	3329	3809
1935	3331	3807
1936	3332	3806
1937	3334	3804
1938	3336	3802
1939	3337	3800
1940	3339	3799
1941	3341	3797
1942	3342	3795
1943	3344	3793
1944	3346	3791
1945	3348	3790
1946	3349	3788
1947	3351	3786
1948	3353	3785
1949	3354	3783
1950	3356	3781
1951	3358	3780
1952	3360	3778
1953	3362	3776
1954	3364	3775
1955	3365	3773
1956	3367	3771
1957	3368	3769
1958	3370	3767
1959	3372	3766
1960	3374	3764
1961	3375	3762
1962	3377	3761
1963	3379	3759
1964	3381	3757
1965	3382	3755
1966	3384	3754
1967	3385	3752
1968	3387	3750
1969	3389	3749
1970	3391	3747
1971	3392	3745
1972	3394	3743
1973	3396	3741
1974	3397	3740
1975	3399	3738
1976	3401	3737
1977	3403	3735
1978	3405	3733
1979	3406	3731
1980	3408	3730
1981	3410	3728
1982	3411	3726
1983	3413	3725
1984	3415	3723
1985	3417	3721
1986	3418	3719
1987	3420	3717
1988	3422	3716
1989	3423	3714
1990	3425	3712
1991	3427	3710
1992	3428	3709
1993	3430	3707
1994	3432	3705
1995	3433	3703
1996	3435	3702
1997	3437	3700
1998	3438	3698
1999	3440	3697
2000	3442	3695
2001	3443	3693
2002	3445	3691
2003	3447	3690
2004	3449	3688
2005	3450	3686
2006	3452	3684
2007	3454	3683
2008	3456	3681
2009	3458	3680
2010	3459	3678
2011	3461	3676
2012	3463	3674
2013	3464	3673
2014	3466	3671
2015	3468	3669
2016	3470	3667
2017	3471	3666
2018	3473	3664
2019	3475	3662
2020	3476	3660
2021	3478	3659
2022	3479	3657
2023	3481	3655
2024	3483	3653
2025	3485	3652
2026	3487	3650
2027	3488	3648
2028	3490	3647
2029	3492	3645
2030	3494	3644
2031	3495	3642
2032	3497	3640
2033	3499	3639
2034	3501	3637
2035	3503	3635
2036	3504	3633
2037	3506	3632
2038	3508	3630
2039	3510	3628
2040	3511	3627
2041	3513	3625
2042	3515	3623
2043	3516	3621
2044	3518	3620
2045	3520	3618
2046	3522	3616
2047	3523	3615
2048	3525	3613
2049	3527	3611
2050	3529	3610
2051	3531	3608
2052	3532	3606
2053	3534	3605
2054	3536	3603
2055	3537	3601
2056	3539	3599
2057	3541	3597
2058	3542	3596
2059	3544	3594
2060	3546	3592
2061	3548	3591
2062	3549	3589
2063	3551	3587
2064	3553	3585
2065	3555	3584
2066	3557	3582
2067	3559	3581
2068	3560	3579
2069	3562	3577
